Photo,Ci,Tleaf,Press
42.07174272,1732.405862,29.8591671,101.0293961
41.08754403,1256.882865,29.80247688,101.0227432
39.85460056,969.1994848,29.71883011,101.0284653
38.97041753,790.5161073,29.5198822,101.0197144
37.21231071,618.8940385,29.26373482,101.0195007
33.66646997,452.4880534,29.02400017,101.0205231
26.65376557,297.4169655,28.75637817,101.0189667
13.56372902,155.1139427,28.50208473,101.0184097
4.449700635,83.77938716,28.29416084,101.0130005
-0.615871282,49.64155638,28.29236412,101.0082626
-3.631359241,30.62551152,28.36858559,101.0042877
