Photo,Ci,Tleaf,Press
35.63997268,1803.360666,28.60634422,101.2412262
34.04354185,1317.517186,28.82250023,101.2369461
33.76556853,1023.656974,28.94486618,101.2322693
33.57507763,833.2343606,29.0259819,101.2286377
34.04971456,645.0547444,28.99145508,101.2241516
32.46799278,471.2362212,28.95063972,101.2243652
26.51377522,304.2101957,28.80784988,101.2269592
12.89177753,156.2043521,28.83672523,101.2283707
3.662134224,84.98840255,28.81713104,101.234993
-1.26329115,51.4560719,28.89366341,101.2311401
-4.062858439,30.70893119,28.869133,101.2288132
