Photo,Ci,Tleaf,Press
35.26347924,1507.183079,30.02805519,101.1883545
33.68645974,1132.249102,29.84692192,101.1825027
32.03842203,923.8291476,29.59654045,101.1792526
31.36550925,791.5664717,29.33047295,101.1709442
31.8336013,630.1143007,29.23032379,101.1626587
30.06738971,466.7759705,29.11528206,101.1569214
24.53324592,305.1733457,29.08847809,101.1511459
11.82952572,157.8084471,28.97164917,101.1533432
3.661826575,86.29058275,28.89423752,101.1453018
-1.226063817,50.97711551,28.82757378,101.1399078
-4.110323812,29.30459724,28.76882172,101.1353912
