 IR64-A009-07-33-05-02_Wildtype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 10 2015 08:07:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LED2x3.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,Oxygen%,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
9,09:34:56,21,5473,0,12.89177753,0.913409049,156.2043521,10.9016398,1.434468024,28.83672523,3.3,2.012826172,1,4.025652343,27.46739197,28.83672523,26.9964447,199.4245148,187.0885162,16.40537262,25.18526459,45.14463806,69.30532074,399.4281616,1999.042114,10.28932953,101.2283707,1.859566212,0.124764353,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210388369,0.01090164,301.9867252,300.617392,319.8467311,-1.535254588,3.983931323,39.35587718,14.17061259,28.1520586,3.828609377,0.744487057,2.549463299,1.279146078,0.478012131,15.81231205,0.834922181,69.67387491,182.7652667,0.049146105
10,09:38:37,21,5694.5,0,3.662134224,0.95676463,84.98840255,11.63985371,1.475512067,28.81713104,3.3,2.012826172,1,4.025652343,27.48482895,28.81713104,26.99704361,98.39505005,94.46083069,15.35418892,24.73353195,42.21163559,67.99726868,399.4039307,1999.432983,11.68869019,101.234993,1.52667284,0.123816401,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210314941,0.011639854,301.967131,300.6348289,319.9092702,-1.813249154,3.979411001,39.30865093,14.57511898,28.15098,3.828368917,0.773038828,2.503898934,1.324469983,0.496864749,8.603800335,0.899721101,69.05045484,93.23273626,0.027122666
11,09:42:09,21,5906,0,-1.26329115,0.934633776,51.4560719,11.57594549,1.495307255,28.89366341,3.3,2.012826172,1,4.025652343,27.49606895,28.89366341,26.99571228,49.50455093,50.06946182,15.38514042,24.71359062,42.26730728,67.89518738,399.3862305,1998.655396,11.11380005,101.2311401,1.330902576,0.126530558,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210261304,0.011575945,302.0436634,300.646069,319.7848561,-1.79648475,3.997092211,39.48480878,14.77121816,28.19486618,3.838163395,0.75852694,2.501784956,1.336378439,0.487277671,5.208956825,1.027693728,68.63213484,50.49310572,-0.01717113
12,09:45:47,21,6124.5,0,-4.062858439,0.95195301,30.70893119,11.5848096,1.474248613,28.869133,3.3,2.012826172,1,4.025652343,27.50269508,28.869133,26.99732971,19.99247551,23.12785912,15.53271866,24.86613083,42.65522003,68.28619385,399.4170837,1999.226074,9.969770432,101.2288132,1.172167301,0.125933558,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210354799,0.01158481,302.019133,300.6526951,319.8761647,-1.795929439,3.991417525,39.42965841,14.56352758,28.18591404,3.836163692,0.769894677,2.517168912,1.31899478,0.494786743,3.108628658,1.327789617,69.13613047,24.49033616,-0.114694347
Remark=,"""09:46:15 R2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:11:23 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10:14:56,21,7872.5,0,35.27386835,0.194277552,1612.799193,3.325559189,1.756053272,29.79561615,3.3,2.012826172,1,4.025652343,27.51633263,29.79561615,26.99512482,2000.880615,1966.344727,21.57574081,24.2558918,59.18471146,66.5366745,399.5354309,1998.75769,10.20989704,101.1974945,-5.794995785,0.198092371,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210713427,0.003325559,302.9456161,300.6663326,319.8012233,1.265960759,4.210688749,41.60862648,17.35273468,28.65597439,3.942401999,0.185333382,2.454635477,1.487766522,0.116605054,163.2112375,0.820201652,58.86053113,1954.515657,0.010622778
14,10:18:46,21,8103.5,0,35.26347924,0.141471688,1507.183079,2.489037487,1.781365127,30.02805519,3.3,2.012826172,1,4.025652343,27.54194069,30.02805519,26.99543381,2001.570435,1968.393799,22.56203842,24.56760025,61.79200745,67.28475952,399.4905396,1998.856689,9.488665581,101.1883545,-5.810742855,0.205366999,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210577393,0.002489037,303.1780552,300.6919407,319.8170632,1.563735887,4.26732017,42.17204827,17.60444802,28.78499794,3.972007671,0.136668798,2.485955043,1.486052628,0.085836903,152.5093757,0.765691845,58.28068123,1956.568213,0.010504002
15,10:22:18,21,8314.5,0,33.68645974,0.188536521,1132.249102,3.322404557,1.805298112,29.84692192,3.3,2.012826172,1,4.025652343,27.51238441,29.84692192,26.99373055,1499.571289,1467.713867,21.21666145,23.89577293,58.20454025,65.55426025,399.4586792,2000.429077,10.03083324,101.1825027,-2.487500668,0.204779536,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210480846,0.003322405,302.9969219,300.6623844,320.0686452,1.263689087,4.223132223,41.73777193,17.841999,28.67965317,3.947820855,0.180101678,2.417834111,1.529986744,0.113292149,114.5637979,0.771437217,57.77907308,1456.417134,0.013364114
16,10:25:49,21,8526,0,32.03842203,0.250215417,923.8291476,4.09370778,1.700695534,29.59654045,3.3,2.012826172,1,4.025652343,27.46476746,29.59654045,26.99393272,1198.856201,1168.444092,21.03433418,24.33317375,57.86351013,66.93830872,399.5499878,2000.296387,11.16888046,101.1792526,-0.857861996,0.191576868,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.210757539,0.004093708,302.7465405,300.6147675,320.0474147,0.990261056,4.162707868,41.14191161,16.80873786,28.53065395,3.913830474,0.2355733,2.462012334,1.45181814,0.148482341,93.4723427,0.790648996,60.23341411,1157.700027,0.016669115
