Photo,Ci,Tleaf,Press
35.87815847,1744.674053,28.40344048,101.1667709
35.756346,1282.936159,28.48177147,101.1596832
35.9429594,1008.042764,28.55390739,101.1511993
35.25891066,823.2422362,28.44211769,101.1416245
34.21545772,647.4343135,28.23743629,101.1413727
31.74409522,475.0846298,28.08805466,101.1278839
25.88752487,308.7821288,28.11309052,101.1243286
12.71626092,157.0179143,28.15109062,101.1211166
3.956427173,85.7923628,28.18646622,101.1137009
-0.792396147,50.68887172,28.22940445,101.1159363
-3.660424343,29.75676078,28.3001709,101.1066437
