Photo,Ci,Tleaf,Press
37.5,1.75E+03,29.24,101.2
36.5,1.27E+03,29.37,101.2
36.2,976,29.27,101.2
35.7,788,29.1,101.2
34.5,610,28.91,101.2
32.4,445,28.67,101.2
26.5,295,28.2,101.2
13.4,150,27.86,101.2
4.41,83.3,27.8,101.2
-0.497,49.4,27.7,101.2
-3.66,29.8,27.65,101.2
